state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes,victory
Alabama,AL,Autauga,1001,Democrat,Hillary Clinton,2387,0.8,1
Alabama,AL,Autauga,1001,Democrat,Bernie Sanders,544,0.182,0
Alabama,AL,Baldwin,1003,Democrat,Hillary Clinton,5290,0.647,1
Alabama,AL,Baldwin,1003,Democrat,Bernie Sanders,2694,0.329,0
Alabama,AL,Barbour,1005,Democrat,Hillary Clinton,2567,0.906,1
Alabama,AL,Barbour,1005,Democrat,Bernie Sanders,222,0.078,0
Alabama,AL,Bibb,1007,Democrat,Hillary Clinton,942,0.755,1
Alabama,AL,Bibb,1007,Democrat,Bernie Sanders,246,0.197,0
Alabama,AL,Blount,1009,Democrat,Hillary Clinton,564,0.551,1
Alabama,AL,Blount,1009,Democrat,Bernie Sanders,395,0.386,0
Alabama,AL,Bullock,1011,Democrat,Hillary Clinton,2451,0.913,1
Alabama,AL,Bullock,1011,Democrat,Bernie Sanders,178,0.066,0
Alabama,AL,Butler,1013,Democrat,Hillary Clinton,2196,0.921,1
Alabama,AL,Butler,1013,Democrat,Bernie Sanders,156,0.065,0
Alabama,AL,Calhoun,1015,Democrat,Hillary Clinton,5011,0.765,1
Alabama,AL,Calhoun,1015,Democrat,Bernie Sanders,1425,0.218,0
Alabama,AL,Chambers,1017,Democrat,Hillary Clinton,2899,0.886,1
Alabama,AL,Chambers,1017,Democrat,Bernie Sanders,312,0.095,0
Alabama,AL,Cherokee,1019,Democrat,Hillary Clinton,712,0.661,1
Alabama,AL,Cherokee,1019,Democrat,Bernie Sanders,268,0.249,0
Alabama,AL,Chilton,1021,Democrat,Hillary Clinton,860,0.731,1
Alabama,AL,Chilton,1021,Democrat,Bernie Sanders,289,0.246,0
Alabama,AL,Choctaw,1023,Democrat,Hillary Clinton,1772,0.802,1
Alabama,AL,Choctaw,1023,Democrat,Bernie Sanders,273,0.124,0
Alabama,AL,Clarke,1025,Democrat,Hillary Clinton,3148,0.93,1
Alabama,AL,Clarke,1025,Democrat,Bernie Sanders,213,0.063,0
Alabama,AL,Clay,1027,Democrat,Hillary Clinton,807,0.818,1
Alabama,AL,Clay,1027,Democrat,Bernie Sanders,135,0.137,0
Alabama,AL,Cleburne,1029,Democrat,Hillary Clinton,221,0.732,1
Alabama,AL,Cleburne,1029,Democrat,Bernie Sanders,72,0.238,0
Alabama,AL,Coffee,1031,Democrat,Hillary Clinton,1493,0.772,1
Alabama,AL,Coffee,1031,Democrat,Bernie Sanders,389,0.201,0
Alabama,AL,Colbert,1033,Democrat,Hillary Clinton,3879,0.65,1
Alabama,AL,Colbert,1033,Democrat,Bernie Sanders,1342,0.225,0
Alabama,AL,Conecuh,1035,Democrat,Hillary Clinton,2031,0.714,1
Alabama,AL,Conecuh,1035,Democrat,Bernie Sanders,544,0.191,0
Alabama,AL,Coosa,1037,Democrat,Hillary Clinton,1012,0.877,1
Alabama,AL,Coosa,1037,Democrat,Bernie Sanders,125,0.108,0
Alabama,AL,Covington,1039,Democrat,Hillary Clinton,737,0.773,1
Alabama,AL,Covington,1039,Democrat,Bernie Sanders,188,0.197,0
Alabama,AL,Crenshaw,1041,Democrat,Hillary Clinton,908,0.878,1
Alabama,AL,Crenshaw,1041,Democrat,Bernie Sanders,107,0.103,0
Alabama,AL,Cullman,1043,Democrat,Hillary Clinton,1275,0.608,1
Alabama,AL,Cullman,1043,Democrat,Bernie Sanders,723,0.345,0
Alabama,AL,Dale,1045,Democrat,Hillary Clinton,1544,0.77,1
Alabama,AL,Dale,1045,Democrat,Bernie Sanders,415,0.207,0
Alabama,AL,Dallas,1047,Democrat,Hillary Clinton,8577,0.744,1
Alabama,AL,Dallas,1047,Democrat,Bernie Sanders,1774,0.154,0
Alabama,AL,DeKalb,1049,Democrat,Hillary Clinton,1297,0.629,1
